id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,ip,macAddress,university,ein,ssn,userAgent,role,hair.color,hair.type,address.address,address.city,address.state,address.stateCode,address.postalCode,address.coordinates.lat,address.coordinates.lng,address.country,bank.cardExpire,bank.cardNumber,bank.cardType,bank.currency,bank.iban,company.department,company.name,company.title,company.address.address,company.address.city,company.address.state,company.address.stateCode,company.address.postalCode,company.address.coordinates.lat,company.address.coordinates.lng,company.address.country,crypto.coin,crypto.wallet,crypto.network
1,Emily,Johnson,Smith,29,female,emily.johnson@x.dummyjson.com,+81 965-431-3024,emilys,emilyspass,1996-5-30,https://dummyjson.com/icon/emilys/128,O-,193.24,63.16,Green,42.48.100.32,47:fa:41:18:ec:eb,University of Wisconsin--Madison,977-175,900-590-289,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",admin,Brown,Curly,626 Main Street,Phoenix,Mississippi,MS,29112,-77.16213,-92.084824,United States,05/28,3693233511855044,Diners Club International,GBP,GB74MH2UZLR9TRPHYNU8F8,Engineering,"Dooley, Kozey and Cronin",Sales Manager,263 Tenth Street,San Francisco,Wisconsin,WI,37657,71.814525,-161.150263,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
2,Michael,Williams,,36,male,michael.williams@x.dummyjson.com,+49 258-627-6644,michaelw,michaelwpass,1989-8-10,https://dummyjson.com/icon/michaelw/128,B+,186.22,76.32,Red,12.13.116.142,79:15:78:99:60:aa,Ohio State University,912-602,108-953-962,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36",admin,Green,Straight,385 Fifth Street,Houston,Alabama,AL,38807,22.815468,115.608581,United States,01/30,3530633803003665,JCB,USD,DE26362283149158045865,Support,Spinka - Dickinson,Support Specialist,395 Main Street,Los Angeles,New Hampshire,NH,73442,79.098326,-119.624845,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
3,Sophia,Brown,,43,female,sophia.brown@x.dummyjson.com,+81 210-652-2785,sophiab,sophiabpass,1982-11-6,https://dummyjson.com/icon/sophiab/128,O-,177.72,52.6,Hazel,214.225.51.195,12:a3:d3:6f:5c:5b,Pepperdine University,963-113,638-461-822,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",admin,White,Wavy,1642 Ninth Street,Washington,Alabama,AL,32822,45.289366,46.832664,United States,10/27,6011212053392887,Discover,EUR,DE12191213468288004835,Research and Development,Schiller - Zieme,Accountant,1896 Washington Street,Dallas,Nevada,NV,88511,20.086743,-34.577107,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
4,James,Davis,,46,male,james.davis@x.dummyjson.com,+49 614-958-9364,jamesd,jamesdpass,1979-5-4,https://dummyjson.com/icon/jamesd/128,AB+,193.31,62.1,Amber,101.118.131.66,10:7d:df:1f:97:58,University of Southern California,904-810,116-951-314,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",admin,Blonde,Straight,238 Jefferson Street,Seattle,Pennsylvania,PA,68354,16.782513,-139.34723,United States,07/30,5303440212268149,Mastercard,CAD,DE01300746880579852937,Support,Pagac and Sons,Research Analyst,1622 Lincoln Street,Fort Worth,Pennsylvania,PA,27768,54.91193,-79.498328,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
5,Emma,Miller,Johnson,31,female,emma.miller@x.dummyjson.com,+91 759-776-1614,emmaj,emmajpass,1994-6-13,https://dummyjson.com/icon/emmaj/128,AB-,192.8,63.62,Green,224.126.22.183,32:b9:7e:8d:f5:e8,Northeastern University,403-505,526-210-885,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,admin,White,Straight,607 Fourth Street,Jacksonville,Colorado,CO,26593,0.505589,-157.43281,United States,07/30,5237188057591130,Mastercard,NZD,DE19182355652037133559,Human Resources,Graham - Gulgowski,Quality Assurance Engineer,1460 Sixth Street,San Antonio,Idaho,ID,21965,44.346545,-26.944701,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
6,Olivia,Wilson,,23,female,olivia.wilson@x.dummyjson.com,+91 607-295-6448,oliviaw,oliviawpass,2002-4-20,https://dummyjson.com/icon/oliviaw/128,B+,182.61,58.0,Hazel,249.178.112.207,9c:7f:ea:34:18:19,University of North Carolina--Chapel Hill,921-709,836-772-168,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",moderator,Gray,Curly,547 First Street,Fort Worth,Tennessee,TN,83843,75.32627,-26.15285,United States,06/30,376320072452632,American Express,NZD,DE21153814367894194071,Product Management,Pfannerstill Inc,Research Analyst,425 Sixth Street,Indianapolis,Oklahoma,OK,74263,74.986644,-132.916888,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
7,Alexander,Jones,,39,male,alexander.jones@x.dummyjson.com,+61 260-824-4986,alexanderj,alexanderjpass,1986-10-20,https://dummyjson.com/icon/alexanderj/128,AB-,153.89,77.42,Blue,166.204.84.32,d2:64:58:2d:1c:46,University of Illinois--Urbana-Champaign,638-127,722-993-925,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",moderator,White,Straight,664 Maple Street,Indianapolis,Delaware,DE,86684,35.289664,7.063255,United States,12/29,5189302549548693,Mastercard,PKR,DE67517655968963441488,Engineering,Dickens - Beahan,Web Developer,996 Eighth Street,Washington,Kansas,KS,27858,-75.462366,-128.025697,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
8,Ava,Taylor,,28,female,ava.taylor@x.dummyjson.com,+1 458-853-7877,avat,avatpass,1997-8-25,https://dummyjson.com/icon/avat/128,AB-,168.47,57.08,Hazel,150.73.197.233,8d:2e:c2:d6:e7:a8,University of Wisconsin--Madison,297-762,257-419-109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",moderator,Red,Kinky,1197 First Street,Fort Worth,Rhode Island,RI,24771,-81.194833,-87.948158,United States,08/30,5349974103330333,Mastercard,EUR,FR94ZM2MMGL1EVYQE1ZLCVCFH83,Marketing,Nikolaus Inc,Chief Executive Officer,930 Lincoln Street,Austin,Colorado,CO,47592,87.970083,-42.769351,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
9,Ethan,Martinez,,34,male,ethan.martinez@x.dummyjson.com,+92 933-608-5081,ethanm,ethanmpass,1991-2-12,https://dummyjson.com/icon/ethanm/128,AB+,159.19,68.81,Hazel,63.191.127.71,59:e:9e:e3:29:da,Syracuse University,790-434,569-650-348,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",moderator,Purple,Curly,466 Pine Street,San Antonio,Louisiana,LA,72360,74.074918,-25.312703,United States,10/27,3598603288061479,JCB,GBP,GB26PND7D83JTW4HL6LZ71,Support,Gorczany - Gottlieb,Legal Counsel,1597 Oak Street,Chicago,Florida,FL,28100,-67.45208,-23.209886,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
10,Isabella,Anderson,Davis,32,female,isabella.anderson@x.dummyjson.com,+49 770-658-4885,isabellad,isabelladpass,1993-6-10,https://dummyjson.com/icon/isabellad/128,A-,150.56,50.1,Brown,114.9.114.205,b1:b0:d0:a2:82:80,California Institute of Technology (Caltech),127-297,902-438-728,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",moderator,Blonde,Curly,1964 Oak Street,New York,Utah,UT,89352,41.331324,151.782727,United States,03/30,3602093733952858,Diners Club International,USD,DE12934874962442340025,Marketing,Pollich - Hilpert,Chief Financial Officer,1029 Adams Street,San Diego,Maryland,MD,63847,-25.843393,-62.692681,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20)
